arm_id,scenario_id,trial_number,candidate_count,parsed_ranking_count,valid_ranking,schema_invalid,provider_failed,runtime_failed,timeout,retried,model_identifier,provider,prompt_version,latency_ms,input_tokens,output_tokens,total_tokens,cost_availability,response_id_present,validation_error_count,validation_errors,artifact_path
proprietary_gpt,x13-001,1,4,4,True,False,False,False,False,False,gpt-5.6-luna,openai,llm-candidate-ranking-v1,4638,580,349,929,not_available,True,0,,results/xss-v13-ablation-v1.3.1-final/xss-v13-ablation-20260808T103409Z/artifacts/ranking/proprietary_gpt/x13-001-trial-1.json
proprietary_gpt,x13-001,2,4,4,True,False,False,False,False,False,gpt-5.6-luna,openai,llm-candidate-ranking-v1,3300,580,335,915,not_available,True,0,,results/xss-v13-ablation-v1.3.1-final/xss-v13-ablation-20260808T103409Z/artifacts/ranking/proprietary_gpt/x13-001-trial-2.json
proprietary_gpt,x13-001,3,4,4,True,False,False,False,False,False,gpt-5.6-luna,openai,llm-candidate-ranking-v1,3158,580,314,894,not_available,True,0,,results/xss-v13-ablation-v1.3.1-final/xss-v13-ablation-20260808T103409Z/artifacts/ranking/proprietary_gpt/x13-001-trial-3.json
proprietary_gpt,x13-001,4,4,4,True,False,False,False,False,False,gpt-5.6-luna,openai,llm-candidate-ranking-v1,3154,580,317,897,not_available,True,0,,results/xss-v13-ablation-v1.3.1-final/xss-v13-ablation-20260808T103409Z/artifacts/ranking/proprietary_gpt/x13-001-trial-4.json
proprietary_gpt,x13-001,5,4,4,True,False,False,False,False,False,gpt-5.6-luna,openai,llm-candidate-ranking-v1,3258,580,323,903,not_available,True,0,,results/xss-v13-ablation-v1.3.1-final/xss-v13-ablation-20260808T103409Z/artifacts/ranking/proprietary_gpt/x13-001-trial-5.json
proprietary_gpt,x13-002,1,5,5,True,False,False,False,False,False,gpt-5.6-luna,openai,llm-candidate-ranking-v1,4990,687,519,1206,not_available,True,0,,results/xss-v13-ablation-v1.3.1-final/xss-v13-ablation-20260808T103409Z/artifacts/ranking/proprietary_gpt/x13-002-trial-1.json
proprietary_gpt,x13-002,2,5,5,True,False,False,False,False,False,gpt-5.6-luna,openai,llm-candidate-ranking-v1,3948,687,413,1100,not_available,True,0,,results/xss-v13-ablation-v1.3.1-final/xss-v13-ablation-20260808T103409Z/artifacts/ranking/proprietary_gpt/x13-002-trial-2.json
proprietary_gpt,x13-002,3,5,5,True,False,False,False,False,False,gpt-5.6-luna,openai,llm-candidate-ranking-v1,4428,687,445,1132,not_available,True,0,,results/xss-v13-ablation-v1.3.1-final/xss-v13-ablation-20260808T103409Z/artifacts/ranking/proprietary_gpt/x13-002-trial-3.json
proprietary_gpt,x13-002,4,5,5,True,False,False,False,False,False,gpt-5.6-luna,openai,llm-candidate-ranking-v1,3316,687,379,1066,not_available,True,0,,results/xss-v13-ablation-v1.3.1-final/xss-v13-ablation-20260808T103409Z/artifacts/ranking/proprietary_gpt/x13-002-trial-4.json
proprietary_gpt,x13-002,5,5,5,True,False,False,False,False,False,gpt-5.6-luna,openai,llm-candidate-ranking-v1,3482,687,384,1071,not_available,True,0,,results/xss-v13-ablation-v1.3.1-final/xss-v13-ablation-20260808T103409Z/artifacts/ranking/proprietary_gpt/x13-002-trial-5.json
proprietary_gpt,x13-003,1,6,6,True,False,False,False,False,False,gpt-5.6-luna,openai,llm-candidate-ranking-v1,4936,806,546,1352,not_available,True,0,,results/xss-v13-ablation-v1.3.1-final/xss-v13-ablation-20260808T103409Z/artifacts/ranking/proprietary_gpt/x13-003-trial-1.json
proprietary_gpt,x13-003,2,6,6,True,False,False,False,False,False,gpt-5.6-luna,openai,llm-candidate-ranking-v1,3570,806,472,1278,not_available,True,0,,results/xss-v13-ablation-v1.3.1-final/xss-v13-ablation-20260808T103409Z/artifacts/ranking/proprietary_gpt/x13-003-trial-2.json
proprietary_gpt,x13-003,3,6,6,True,False,False,False,False,False,gpt-5.6-luna,openai,llm-candidate-ranking-v1,4110,806,467,1273,not_available,True,0,,results/xss-v13-ablation-v1.3.1-final/xss-v13-ablation-20260808T103409Z/artifacts/ranking/proprietary_gpt/x13-003-trial-3.json
