arm_id,candidate_input_sha256,candidate_test_budget,contract_valid,latency_ms,model_identifier,prompt_version,provider,provider_failed,scenario_id,schema_version,sequence,snapshot_path,status,top_k,trial_number,validation_errors
deterministic_structural,580d36e85a73f8e17c74f6e0c44ef7f430788d3d8a89c4a2b7e6572e767c691f,4,True,0,not_applicable,llm-sqli-candidate-ranking-v1,deterministic,False,os15-s0001,owasp-sqli-v15-ranking-row-v1,1,model-facing/candidate-snapshots/os15-s0001.json,valid,4,1,[]
deterministic_structural,27b4692a4e70de23ff4b57179d3ab329f3532422a78c99cf86a2b7b633a949c5,4,True,0,not_applicable,llm-sqli-candidate-ranking-v1,deterministic,False,os15-s0002,owasp-sqli-v15-ranking-row-v1,2,model-facing/candidate-snapshots/os15-s0002.json,valid,4,1,[]
deterministic_structural,70b34083f6d2d119b1a1ca753fb67efbd230375ef9d23e18e191f338c88d6a99,4,True,0,not_applicable,llm-sqli-candidate-ranking-v1,deterministic,False,os15-s0003,owasp-sqli-v15-ranking-row-v1,3,model-facing/candidate-snapshots/os15-s0003.json,valid,4,1,[]
deterministic_structural,8ad43b1a07254c011e8819c8d254418bd78756eafc63a4906f6a8ccf4e69a702,4,True,0,not_applicable,llm-sqli-candidate-ranking-v1,deterministic,False,os15-s0004,owasp-sqli-v15-ranking-row-v1,4,model-facing/candidate-snapshots/os15-s0004.json,valid,4,1,[]
deterministic_structural,b5bcb894eb746b445d171d2f37528660119983e70abfabde08de33c513ab90f6,4,True,0,not_applicable,llm-sqli-candidate-ranking-v1,deterministic,False,os15-s0005,owasp-sqli-v15-ranking-row-v1,5,model-facing/candidate-snapshots/os15-s0005.json,valid,4,1,[]
deterministic_structural,5db03585ecd28388db983ed8d55dce9c7baf1cd0ed523e287bddf3e6394d6629,4,True,0,not_applicable,llm-sqli-candidate-ranking-v1,deterministic,False,os15-s0006,owasp-sqli-v15-ranking-row-v1,6,model-facing/candidate-snapshots/os15-s0006.json,valid,4,1,[]
deterministic_structural,948900f67da8961b3f172e9ed98db0e007a937ddde199551a33c80f817fbb7d0,4,True,0,not_applicable,llm-sqli-candidate-ranking-v1,deterministic,False,os15-s0007,owasp-sqli-v15-ranking-row-v1,7,model-facing/candidate-snapshots/os15-s0007.json,valid,4,1,[]
deterministic_structural,34e7483d1c5c0041a09c286fddf3c824c8adf21b5d69cd0716a0742a77751a7f,4,True,0,not_applicable,llm-sqli-candidate-ranking-v1,deterministic,False,os15-s0008,owasp-sqli-v15-ranking-row-v1,8,model-facing/candidate-snapshots/os15-s0008.json,valid,4,1,[]
deterministic_structural,e52a1e72f85a95b0b395b54bafaf53b7e5b84e66444f5b438a49cd08dba26dd4,4,True,0,not_applicable,llm-sqli-candidate-ranking-v1,deterministic,False,os15-s0009,owasp-sqli-v15-ranking-row-v1,9,model-facing/candidate-snapshots/os15-s0009.json,valid,4,1,[]
deterministic_structural,938e2449d768a65aab0536688a35480d331069abcb342100e9d78e932e91b910,4,True,0,not_applicable,llm-sqli-candidate-ranking-v1,deterministic,False,os15-s0010,owasp-sqli-v15-ranking-row-v1,10,model-facing/candidate-snapshots/os15-s0010.json,valid,4,1,[]
