arm_id,candidate_input_sha256,candidate_test_budget,contract_valid,cost,focal_vulnerable_candidate_id,latency_ms,model_identifier,parsed_ranking,provider,provider_failed,raw_artifact_path,reciprocal_rank,scenario_id,scenario_type,sequence,status,top1,top_k,topk,trial_number,usage,validation_error_count,validation_errors,vulnerable_rank
deterministic_structural,19b41cfe326866453ce3fdf1581e86ed9ee25a221aa9352641d56dddc978cb8e,4,True,"{""availability"": ""not_applicable""}",ox14-c000227,0,not_applicable,"[""ox14-c000189"", ""ox14-c000348"", ""ox14-c000227"", ""ox14-c000236"", ""ox14-c000030""]",deterministic,False,results/owasp-xss-v14-confirmatory-final/owasp-xss-v14-confirmatory-20260821T235804Z/raw/ranking-rows/sequence-0001__deterministic_structural__ow14-s0001__trial-1.json,0.3333333333333333,ow14-s0001,positive,1,valid,False,4,True,1,,0,[],3
deterministic_structural,af4ee5fd230850e6430ba7d5dfb87b166425fe2f36ec5e946e62e63d3142b7f7,4,True,"{""availability"": ""not_applicable""}",ox14-c000222,0,not_applicable,"[""ox14-c000209"", ""ox14-c000341"", ""ox14-c000426"", ""ox14-c000083"", ""ox14-c000222""]",deterministic,False,results/owasp-xss-v14-confirmatory-final/owasp-xss-v14-confirmatory-20260821T235804Z/raw/ranking-rows/sequence-0002__deterministic_structural__ow14-s0002__trial-1.json,0.2,ow14-s0002,positive,2,valid,False,4,False,1,,0,[],5
deterministic_structural,83b89d9f837140fd4c630377f96d8636f18b5b6cd6ae84d99ca1463487c5dde0,4,True,"{""availability"": ""not_applicable""}",ox14-c000326,0,not_applicable,"[""ox14-c000184"", ""ox14-c000254"", ""ox14-c000259"", ""ox14-c000326"", ""ox14-c000333""]",deterministic,False,results/owasp-xss-v14-confirmatory-final/owasp-xss-v14-confirmatory-20260821T235804Z/raw/ranking-rows/sequence-0003__deterministic_structural__ow14-s0003__trial-1.json,0.25,ow14-s0003,positive,3,valid,False,4,True,1,,0,[],4
deterministic_structural,e51fdb5893d7b668e195bfc8a1a1c9cbb84eaeb5a5f2470e9da100adf9f6be25,4,True,"{""availability"": ""not_applicable""}",ox14-c000055,0,not_applicable,"[""ox14-c000055"", ""ox14-c000278"", ""ox14-c000355"", ""ox14-c000229"", ""ox14-c000031""]",deterministic,False,results/owasp-xss-v14-confirmatory-final/owasp-xss-v14-confirmatory-20260821T235804Z/raw/ranking-rows/sequence-0004__deterministic_structural__ow14-s0004__trial-1.json,1.0,ow14-s0004,positive,4,valid,True,4,True,1,,0,[],1
deterministic_structural,633db0b03f6b88ee25e89ddf9d901e10be3da48768a9f6626f201dfc0a0ddc81,4,True,"{""availability"": ""not_applicable""}",ox14-c000098,0,not_applicable,"[""ox14-c000065"", ""ox14-c000098"", ""ox14-c000125"", ""ox14-c000204"", ""ox14-c000294""]",deterministic,False,results/owasp-xss-v14-confirmatory-final/owasp-xss-v14-confirmatory-20260821T235804Z/raw/ranking-rows/sequence-0005__deterministic_structural__ow14-s0005__trial-1.json,0.5,ow14-s0005,positive,5,valid,False,4,True,1,,0,[],2
deterministic_structural,4264040f70a44b55272030e1fce9c3d42fdfa728a43fa804884feb9e6c5a2db2,4,True,"{""availability"": ""not_applicable""}",ox14-c000334,0,not_applicable,"[""ox14-c000044"", ""ox14-c000066"", ""ox14-c000334"", ""ox14-c000409"", ""ox14-c000164""]",deterministic,False,results/owasp-xss-v14-confirmatory-final/owasp-xss-v14-confirmatory-20260821T235804Z/raw/ranking-rows/sequence-0006__deterministic_structural__ow14-s0006__trial-1.json,0.3333333333333333,ow14-s0006,positive,6,valid,False,4,True,1,,0,[],3
deterministic_structural,6f627a56fcc68a5e3764a3ffd934e227cb205b8f86501246d6c1873ee2a820e1,4,True,"{""availability"": ""not_applicable""}",ox14-c000255,0,not_applicable,"[""ox14-c000112"", ""ox14-c000208"", ""ox14-c000255"", ""ox14-c000261"", ""ox14-c000432""]",deterministic,False,results/owasp-xss-v14-confirmatory-final/owasp-xss-v14-confirmatory-20260821T235804Z/raw/ranking-rows/sequence-0007__deterministic_structural__ow14-s0007__trial-1.json,0.3333333333333333,ow14-s0007,positive,7,valid,False,4,True,1,,0,[],3
deterministic_structural,cf7e511bde566525831f5bd77907f052f5b369117cd47aa8170b0186afc3d109,4,True,"{""availability"": ""not_applicable""}",ox14-c000173,0,not_applicable,"[""ox14-c000414"", ""ox14-c000224"", ""ox14-c000362"", ""ox14-c000173"", ""ox14-c000310""]",deterministic,False,results/owasp-xss-v14-confirmatory-final/owasp-xss-v14-confirmatory-20260821T235804Z/raw/ranking-rows/sequence-0008__deterministic_structural__ow14-s0008__trial-1.json,0.25,ow14-s0008,positive,8,valid,False,4,True,1,,0,[],4
deterministic_structural,39c934de41d93b8ec160b8d496d8c7056d7efef89f2c915044e60a092047193e,4,True,"{""availability"": ""not_applicable""}",ox14-c000063,0,not_applicable,"[""ox14-c000063"", ""ox14-c000210"", ""ox14-c000391"", ""ox14-c000402"", ""ox14-c000036""]",deterministic,False,results/owasp-xss-v14-confirmatory-final/owasp-xss-v14-confirmatory-20260821T235804Z/raw/ranking-rows/sequence-0009__deterministic_structural__ow14-s0009__trial-1.json,1.0,ow14-s0009,positive,9,valid,True,4,True,1,,0,[],1
deterministic_structural,29f3e76d13843895fd95ba3c30741e260d222fd7a67ba5239c01e5754491cc1b,4,True,"{""availability"": ""not_applicable""}",ox14-c000349,0,not_applicable,"[""ox14-c000067"", ""ox14-c000252"", ""ox14-c000320"", ""ox14-c000349"", ""ox14-c000225""]",deterministic,False,results/owasp-xss-v14-confirmatory-final/owasp-xss-v14-confirmatory-20260821T235804Z/raw/ranking-rows/sequence-0010__deterministic_structural__ow14-s0010__trial-1.json,0.25,ow14-s0010,positive,10,valid,False,4,True,1,,0,[],4
